参数,总收益率
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.11, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.12, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1300000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1400000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1500000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1600000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1700000000000002, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1800000000000002, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1900000000000002, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.11, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.12, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1300000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1400000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1500000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1600000000000001, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1700000000000002, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1800000000000002, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 6, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1900000000000002, 'pricetick_multilplier': 2}",1.0607544
"{'bar_window_length': 4, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1900000000000002, 'pricetick_multilplier': 2}",1.0567548
"{'bar_window_length': 4, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1900000000000002, 'pricetick_multilplier': 2}",1.0567548
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.11, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.12, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1300000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1400000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1500000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1600000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1700000000000002, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1800000000000002, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1900000000000002, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.11, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.12, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1300000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1400000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1500000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1600000000000001, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1700000000000002, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1800000000000002, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 10, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.81, 'cover_multiplier': 1.1900000000000002, 'pricetick_multilplier': 2}",1.054755
"{'bar_window_length': 7, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.11, 'pricetick_multilplier': 2}",1.0533766
"{'bar_window_length': 7, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.12, 'pricetick_multilplier': 2}",1.0533766
"{'bar_window_length': 7, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1300000000000001, 'pricetick_multilplier': 2}",1.0533766
"{'bar_window_length': 7, 'cci_window': 3, 'fixed_size': 1, 'sell_multiplier': 0.8, 'cover_multiplier': 1.1400000000000001, 'pricetick_multilplier': 2}",1.0533766
