参数,总收益率
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 13, 'boll_dev': 2.0, 'atr_window': 5, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 13, 'boll_dev': 2.0, 'atr_window': 10, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 25, 'boll_dev': 2.0, 'atr_window': 6, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 13, 'boll_dev': 2.0, 'atr_window': 4, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 25, 'boll_dev': 2.0, 'atr_window': 5, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 35, 'boll_dev': 2.0, 'atr_window': 9, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 35, 'boll_dev': 2.0, 'atr_window': 5, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 40, 'boll_dev': 2.0, 'atr_window': 4, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 28, 'boll_dev': 2.0, 'atr_window': 5, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 37, 'boll_dev': 2.0, 'atr_window': 6, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 35, 'boll_dev': 2.0, 'atr_window': 4, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 40, 'boll_dev': 2.0, 'atr_window': 10, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 37, 'boll_dev': 2.0, 'atr_window': 5, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 25, 'boll_dev': 2.0, 'atr_window': 10, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 28, 'boll_dev': 2.0, 'atr_window': 6, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 28, 'boll_dev': 2.0, 'atr_window': 9, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 25, 'boll_dev': 2.0, 'atr_window': 4, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 27, 'boll_dev': 2.0, 'atr_window': 6, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 40, 'boll_dev': 2.0, 'atr_window': 9, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 13, 'boll_dev': 2.0, 'atr_window': 9, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 25, 'boll_dev': 2.0, 'atr_window': 9, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 37, 'boll_dev': 2.0, 'atr_window': 10, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 28, 'boll_dev': 2.0, 'atr_window': 4, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 28, 'boll_dev': 2.0, 'atr_window': 10, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 35, 'boll_dev': 2.0, 'atr_window': 10, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 37, 'boll_dev': 2.0, 'atr_window': 4, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 37, 'boll_dev': 2.0, 'atr_window': 9, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 27, 'boll_dev': 2.0, 'atr_window': 9, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 27, 'boll_dev': 2.0, 'atr_window': 10, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 27, 'boll_dev': 2.0, 'atr_window': 5, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
"{'bar_window_length1': 25, 'bar_window_length2': 40, 'cci_window': 12, 'boll_window': 27, 'boll_dev': 2.0, 'atr_window': 4, 'pricetick_multilplier1': 1, 'pricetick_multilplier2': 0, 'fixed_size': 1, 'slmultiplier': 5.2}",8.90025
